"region","week","date_from","date_to","track_id","track_name","artist","track_position","track_streams","track_url"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","Mariah Carey","11","15094760","https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","5GXAXm5YOmYT0kL5jHvYBt","I Feel It Coming","The Weeknd","12","14845976","https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","1xznGGDReH1oQq0xzbwXa3","One Dance","Drake","13","13620191","https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","6DNtNfH8hXkqOX1sjqmI7p","Cold Water (feat. Justin Bieber & MØ)","Major Lazer","14","13143341","https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","6bLopGnirdrilrpdVB6Um1","The Greatest","Sia","15","13074479","https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","04DwTuZ2VBdJCCC5TROn7L","In the Name of Love","Martin Garrix","16","12854288","https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","78rIJddV4X0HkNAInEcYde","Call On Me - Ryan Riback Extended Remix","Starley","17","12309223","https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","6mICuAdrwEjh6Y6lroV2Kg","Chantaje (feat. Maluma)","Shakira","18","12104974","https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","4pLwZjInHj3SimIyN9SnOz","Side To Side","Ariana Grande","19","11964458","https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","3EmmCZoqpWOTY1g2GBwJoR","Just Hold On","Steve Aoki","20","11735194","https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","2FRnf9qhLbvw8fu4IBXx78","Last Christmas","Wham!","21","11724752","https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","1qOLh0tI7trd1zdDKxYZTe","Starving","Hailee Steinfeld","22","10932500","https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","4Km5HrUvYTaSUfiSGPJeQR","Bad and Boujee (feat. Lil Uzi Vert)","Migos","23","10635390","https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","1PSBzsahR2AKwLJgx8ehBj","Bad Things (with Camila Cabello)","Machine Gun Kelly","24","10620238","https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","4TZy1wLyHec06pwgFYDh1a","Mercy","Shawn Mendes","25","10507024","https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","1vvNmPOiUuyCbgWmtc6yfm","My Way","Calvin Harris","26","10330481","https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","6i0V12jOa3mr6uu4WYhUBr","Heathens","Twenty One Pilots","27","10169963","https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","2rizacJSyD9S1IQUxUxnsK","All We Know","The Chainsmokers","28","10163696","https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK"
"global","2016-12-23--2016-12-30","2016-12-23","2016-12-30","0QsvXIfqM0zZoerQfsI9lm","Don't Let Me Down (feat. Daya)","The Chainsmokers","29","9267559","https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm"
